date,freq_delta_21A,freq_delta_21A_level_1,freq_delta_21I,freq_delta_21I_level_1,freq_delta_21I_level_2,freq_delta_21J,freq_delta_21J_level_1,freq_delta_21J_level_2,freq,delta_21A_percentage,delta_21A_level_1_percentage,delta_21I_percentage,delta_21I_level_1_percentage,delta_21I_level_2_percentage,delta_21J_percentage,delta_21J_level_1_percentage,delta_21J_level_2_percentage
2/7/2021,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0
2/14/2021,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0
2/21/2021,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0
2/28/2021,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0
3/7/2021,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,0,0
3/14/2021,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0
3/21/2021,0,0,0,0,0,0,0,0,173,0,0,0,0,0,0,0,0
3/28/2021,0,0,0,0,0,0,0,0,573,0,0,0,0,0,0,0,0
4/4/2021,0,0,0,0,0,0,0,0,303,0,0,0,0,0,0,0,0
4/11/2021,0,0,0,0,0,0,0,0,445,0,0,0,0,0,0,0,0
4/18/2021,0,0,0,0,0,1,1,0,537,0,0,0,0,0,0.001862197,0.001862197,0
4/25/2021,0,0,0,0,0,0,0,0,572,0,0,0,0,0,0,0,0
5/2/2021,0,0,1,1,0,2,2,0,683,0,0,0.001464129,0.001464129,0,0.002928258,0.002928258,0
5/9/2021,1,1,0,0,0,0,0,0,546,0.001831502,0.001831502,0,0,0,0,0,0
5/16/2021,0,0,0,0,0,1,1,0,399,0,0,0,0,0,0.002506266,0.002506266,0
5/23/2021,1,1,0,0,0,2,2,0,384,0.002604167,0.002604167,0,0,0,0.005208333,0.005208333,0
5/30/2021,0,0,1,1,0,3,2,1,305,0,0,0.003278689,0.003278689,0,0.009836066,0.006557377,0.003278689
6/6/2021,0,0,7,7,0,3,3,0,250,0,0,0.028,0.028,0,0.012,0.012,0
6/13/2021,3,3,12,12,0,10,3,7,279,0.010752688,0.010752688,0.043010753,0.043010753,0,0.035842294,0.010752688,0.025089606
6/20/2021,4,4,13,13,0,26,21,5,192,0.020833333,0.020833333,0.067708333,0.067708333,0,0.135416667,0.109375,0.026041667
6/27/2021,7,7,21,21,0,56,50,6,241,0.029045643,0.029045643,0.087136929,0.087136929,0,0.232365145,0.20746888,0.024896266
7/4/2021,24,24,14,14,0,97,84,13,222,0.108108108,0.108108108,0.063063063,0.063063063,0,0.436936937,0.378378378,0.058558559
7/11/2021,54,54,40,40,0,183,160,23,407,0.132678133,0.132678133,0.098280098,0.098280098,0,0.44963145,0.393120393,0.056511057
7/18/2021,54,54,48,48,0,393,362,31,687,0.07860262,0.07860262,0.069868996,0.069868996,0,0.572052402,0.526928675,0.045123726
7/25/2021,88,88,102,101,1,718,670,48,1030,0.085436893,0.085436893,0.099029126,0.098058252,0.000970874,0.697087379,0.650485437,0.046601942
8/1/2021,122,122,137,137,0,1100,1012,88,1420,0.085915493,0.085915493,0.096478873,0.096478873,0,0.774647887,0.712676056,0.061971831
8/8/2021,119,119,103,103,0,972,882,90,1236,0.096278317,0.096278317,0.083333333,0.083333333,0,0.786407767,0.713592233,0.072815534
8/15/2021,87,87,110,110,0,1244,1167,77,1483,0.058664869,0.058664869,0.074173972,0.074173972,0,0.838840189,0.786918409,0.05192178
8/22/2021,60,60,104,104,0,1179,1077,102,1377,0.043572985,0.043572985,0.075526507,0.075526507,0,0.85620915,0.782135076,0.074074074
8/29/2021,35,35,71,71,0,888,793,95,1021,0.034280118,0.034280118,0.069539667,0.069539667,0,0.869735553,0.77668952,0.093046033
9/5/2021,39,39,50,50,0,922,844,78,1044,0.037356322,0.037356322,0.04789272,0.04789272,0,0.883141762,0.808429119,0.074712644
9/12/2021,20,20,31,31,0,781,713,68,846,0.023640662,0.023640662,0.036643026,0.036643026,0,0.923167849,0.842789598,0.080378251
9/19/2021,15,15,25,25,0,614,565,49,674,0.022255193,0.022255193,0.037091988,0.037091988,0,0.910979228,0.838278932,0.072700297
9/26/2021,11,11,38,37,1,639,600,39,705,0.015602837,0.015602837,0.053900709,0.05248227,0.00141844,0.906382979,0.85106383,0.055319149
10/3/2021,17,17,19,19,0,572,527,45,623,0.027287319,0.027287319,0.030497592,0.030497592,0,0.918138042,0.845906902,0.07223114
10/10/2021,12,12,30,30,0,791,746,45,865,0.013872832,0.013872832,0.034682081,0.034682081,0,0.914450867,0.862427746,0.052023121
10/17/2021,12,12,35,35,0,704,656,48,768,0.015625,0.015625,0.045572917,0.045572917,0,0.916666667,0.854166667,0.0625
10/24/2021,10,10,31,31,0,892,842,50,946,0.010570825,0.010570825,0.032769556,0.032769556,0,0.942917548,0.890063425,0.052854123
10/31/2021,12,12,17,17,0,690,652,38,727,0.01650619,0.01650619,0.023383769,0.023383769,0,0.949105915,0.896836314,0.052269601
11/7/2021,8,8,23,23,0,838,799,39,881,0.00908059,0.00908059,0.026106697,0.026106697,0,0.951191827,0.90692395,0.044267877
11/14/2021,11,11,21,21,0,743,703,40,787,0.013977128,0.013977128,0.026683609,0.026683609,0,0.944091487,0.893265565,0.050825921
11/21/2021,7,7,31,30,1,657,634,23,703,0.009957326,0.009957326,0.044096728,0.042674253,0.001422475,0.934566145,0.901849218,0.032716927
11/28/2021,5,5,21,20,1,848,813,35,898,0.005567929,0.005567929,0.023385301,0.022271715,0.001113586,0.944320713,0.905345212,0.038975501
12/5/2021,3,3,19,18,1,464,442,22,508,0.005905512,0.005905512,0.037401575,0.035433071,0.001968504,0.913385827,0.87007874,0.043307087
12/12/2021,3,3,2,2,0,310,295,15,406,0.007389163,0.007389163,0.004926108,0.004926108,0,0.763546798,0.726600985,0.036945813
12/19/2021,0,0,2,2,0,193,180,13,517,0,0,0.003868472,0.003868472,0,0.373307544,0.348162476,0.025145068
12/26/2021,1,1,8,8,0,133,123,10,1091,0.00091659,0.00091659,0.007332722,0.007332722,0,0.121906508,0.112740605,0.009165903
1/2/2022,1,1,3,3,0,120,115,5,2223,0.000449843,0.000449843,0.001349528,0.001349528,0,0.053981107,0.051731894,0.002249213
1/9/2022,0,0,2,2,0,60,55,5,2377,0,0,0.000841397,0.000841397,0,0.025241902,0.02313841,0.002103492
1/16/2022,1,1,1,1,0,24,21,3,1944,0.000514403,0.000514403,0.000514403,0.000514403,0,0.012345679,0.010802469,0.00154321
1/23/2022,0,0,0,0,0,14,12,2,1734,0,0,0,0,0,0.008073818,0.006920415,0.001153403
1/30/2022,0,0,0,0,0,1,1,0,1314,0,0,0,0,0,0.000761035,0.000761035,0
2/6/2022,0,0,0,0,0,3,3,0,1042,0,0,0,0,0,0.002879079,0.002879079,0
2/13/2022,0,0,0,0,0,1,1,0,660,0,0,0,0,0,0.001515152,0.001515152,0
2/20/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
