,date,freq_alpha,freq_beta,freq_delta,freq_epsilon,freq_gamma,freq_omicron,freq,alpha_percentage,beta_percentage,delta_percentage,epsilon_percentage,gamma_percentage,omicron_percentage,total_6_variants,percentage_of_6_variants,other_variants
0,2/7/2021,1,0,0,67,0,1,180,0.005555556,0,0,0.372222222,0,0.005555556,69,38.33333333,111
1,2/14/2021,6,0,0,84,0,1,181,0.033149171,0,0,0.464088398,0,0.005524862,91,50.27624309,90
2,2/21/2021,12,1,0,53,1,1,150,0.08,0.006666667,0,0.353333333,0.006666667,0.006666667,68,45.33333333,82
3,2/28/2021,9,1,0,58,0,1,119,0.075630252,0.008403361,0,0.487394958,0,0.008403361,69,57.98319328,50
4,3/7/2021,11,1,0,70,0,1,172,0.063953488,0.005813953,0,0.406976744,0,0.005813953,83,48.25581395,89
5,3/14/2021,17,7,0,52,3,1,139,0.122302158,0.050359712,0,0.374100719,0.021582734,0.007194245,80,57.55395683,59
6,3/21/2021,39,7,0,68,2,1,173,0.225433526,0.040462428,0,0.393063584,0.011560694,0.005780347,117,67.6300578,56
7,3/28/2021,238,27,1,114,77,1,573,0.415357766,0.047120419,0.001745201,0.19895288,0.134380454,0.001745201,458,79.93019197,115
8,4/4/2021,146,24,0,62,7,0,303,0.481848185,0.079207921,0,0.204620462,0.02310231,0,239,78.87788779,64
9,4/11/2021,201,23,2,89,31,0,445,0.451685393,0.051685393,0.004494382,0.2,0.069662921,0,346,77.75280899,99
10,4/18/2021,282,29,4,61,62,0,537,0.525139665,0.054003724,0.00744879,0.113594041,0.115456238,0,438,81.56424581,99
11,4/25/2021,320,31,1,64,75,0,572,0.559440559,0.054195804,0.001748252,0.111888112,0.131118881,0,491,85.83916084,81
12,5/2/2021,363,30,4,53,121,1,683,0.53147877,0.043923865,0.005856515,0.077598829,0.17715959,0.001464129,572,83.74816984,111
13,5/9/2021,288,17,2,30,129,0,546,0.527472527,0.031135531,0.003663004,0.054945055,0.236263736,0,466,85.34798535,80
14,5/16/2021,183,9,1,15,107,0,399,0.458646617,0.022556391,0.002506266,0.037593985,0.268170426,0,315,78.94736842,84
15,5/23/2021,183,9,4,13,114,1,384,0.4765625,0.0234375,0.010416667,0.033854167,0.296875,0.002604167,324,84.375,60
16,5/30/2021,136,9,4,8,91,1,305,0.445901639,0.029508197,0.013114754,0.026229508,0.298360656,0.003278689,249,81.63934426,56
17,6/6/2021,128,3,11,2,63,0,250,0.512,0.012,0.044,0.008,0.252,0,207,82.8,43
18,6/13/2021,156,1,25,1,57,1,279,0.559139785,0.003584229,0.089605735,0.003584229,0.204301075,0.003584229,241,86.37992832,38
19,6/20/2021,87,1,45,0,47,1,192,0.453125,0.005208333,0.234375,0,0.244791667,0.005208333,181,94.27083333,11
20,6/27/2021,73,3,88,0,49,1,241,0.302904564,0.012448133,0.365145228,0,0.203319502,0.004149378,214,88.7966805,27
21,7/4/2021,35,0,141,2,24,1,222,0.157657658,0,0.635135135,0.009009009,0.108108108,0.004504505,203,91.44144144,19
22,7/11/2021,62,1,280,0,20,1,407,0.152334152,0.002457002,0.687960688,0,0.049140049,0.002457002,364,89.43488943,43
23,7/18/2021,77,2,507,3,47,1,687,0.112081514,0.002911208,0.737991266,0.004366812,0.068413392,0.001455604,637,92.72197962,50
24,7/25/2021,54,0,922,1,25,1,1030,0.052427184,0,0.895145631,0.000970874,0.024271845,0.000970874,1003,97.37864078,27
25,8/1/2021,20,0,1374,0,10,1,1420,0.014084507,0,0.967605634,0,0.007042254,0.000704225,1405,98.94366197,15
26,8/8/2021,7,0,1211,0,10,1,1236,0.00566343,0,0.979773463,0,0.008090615,0.000809061,1229,99.43365696,7
27,8/15/2021,5,0,1458,0,12,1,1483,0.003371544,0,0.983142279,0,0.008091706,0.000674309,1476,99.52798382,7
28,8/22/2021,3,0,1363,0,5,1,1377,0.002178649,0,0.98983297,0,0.003631082,0.000726216,1372,99.63689179,5
29,8/29/2021,1,0,1013,0,4,1,1021,0.000979432,0,0.992164545,0,0.003917728,0.000979432,1019,99.80411361,2
30,9/5/2021,0,0,1039,0,0,1,1044,0,0,0.995210728,0,0,0.000957854,1040,99.61685824,4
31,9/12/2021,0,0,840,0,0,1,846,0,0,0.992907801,0,0,0.001182033,841,99.40898345,5
32,9/19/2021,0,0,668,0,0,1,674,0,0,0.991097923,0,0,0.00148368,669,99.25816024,5
33,9/26/2021,0,0,702,0,0,1,705,0,0,0.995744681,0,0,0.00141844,703,99.71631206,2
34,10/3/2021,0,0,621,0,0,1,623,0,0,0.996789727,0,0,0.001605136,622,99.83948636,1
35,10/10/2021,0,0,860,0,0,1,865,0,0,0.994219653,0,0,0.001156069,861,99.53757225,4
36,10/17/2021,0,0,763,0,0,1,768,0,0,0.993489583,0,0,0.001302083,764,99.47916667,4
37,10/24/2021,0,0,941,0,0,1,946,0,0,0.994714588,0,0,0.001057082,942,99.57716702,4
38,10/31/2021,0,0,726,0,0,1,727,0,0,0.998624484,0,0,0.001375516,727,100,0
39,11/7/2021,0,0,877,0,0,1,881,0,0,0.995459705,0,0,0.001135074,878,99.65947787,3
40,11/14/2021,0,0,781,0,0,4,787,0,0,0.992376112,0,0,0.005082592,785,99.74587039,2
41,11/21/2021,0,0,699,0,0,3,703,0,0,0.9943101,0,0,0.004267425,702,99.85775249,1
42,11/28/2021,0,0,892,0,0,3,898,0,0,0.993318486,0,0,0.003340757,895,99.66592428,3
43,12/5/2021,0,0,493,0,0,14,508,0,0,0.970472441,0,0,0.027559055,507,99.80314961,1
44,12/12/2021,0,0,327,0,0,76,406,0,0,0.805418719,0,0,0.187192118,403,99.26108374,3
45,12/19/2021,0,0,197,0,0,319,517,0,0,0.381044487,0,0,0.617021277,516,99.8065764,1
46,12/26/2021,0,0,143,0,0,942,1091,0,0,0.131072411,0,0,0.863428048,1085,99.45004583,6
47,1/2/2022,0,0,132,0,0,2085,2223,0,0,0.059379217,0,0,0.937921727,2217,99.73009447,6
48,1/9/2022,0,0,63,0,0,2295,2377,0,0,0.026503997,0,0,0.965502735,2358,99.20067312,19
