MMWR,date,alpha_percentage,beta_percentage,delta_percentage,epsilon_percentage,gamma_percentage,omicron_percentage,Alpha_MLST,Beta_MLST,Gamma_MLST,Delta_MLST,Omicron_MLST,Epsilon_MLST
6,2021-02-07,0.005555556,0.0,0.0,0.372222222,0.0,0.005555556,0.0,0.0,0.08555715171842836,0.17075430747642512,0.0,0.42130560987127885
7,2021-02-14,0.033149171,0.0,0.0,0.464088398,0.0,0.005524862,0.0009687624740949471,0.0,0.08125563784871456,0.1315937321756098,0.0,0.2733378691016085
8,2021-02-21,0.08,0.006666667,0.0,0.353333333,0.006666667,0.006666667,0.003752688130881031,0.0,0.08604125199854185,0.10487841824113414,0.0,0.5330431245701819
9,2021-02-28,0.075630252,0.008403361,0.0,0.487394958,0.0,0.008403361,0.01540936446631324,0.0,0.10068695138321762,0.10447432109513226,0.0,0.15709730038973657
10,2021-03-07,0.063953488,0.005813953,0.0,0.406976744,0.0,0.005813953,0.12636180809239247,0.003741439341416613,0.08719837876279912,0.14511849565521512,0.0,0.31684017323152586
11,2021-03-14,0.122302158,0.050359712,0.0,0.374100719,0.021582734,0.007194245,0.029369620165563468,0.000775626662155363,0.08644594954815729,0.12782765521987613,0.0,0.13924483243128052
12,2021-03-21,0.225433526,0.040462428,0.0,0.393063584,0.011560694,0.005780347,0.11570027398574396,0.008559341686762978,0.10022835228432053,0.15562685727396705,0.0,0.5847607732208937
13,2021-03-28,0.415357766,0.047120419,0.001745201,0.19895288,0.134380454,0.001745201,0.20204960683631198,0.051537715943291734,0.2033186998584091,0.0928174100062007,0.0,0.25908618160049574
14,2021-04-04,0.481848185,0.079207921,0.0,0.204620462,0.02310231,0.0,0.38694042331510986,0.020509871480582486,0.12583253135641223,0.09624862242339134,0.0,0.20345501341617225
15,2021-04-11,0.451685393,0.051685393,0.004494382,0.2,0.069662921,0.0,0.4963640862100461,0.015040272623232922,0.1484020725593527,0.08616437618017152,0.0,0.19912750211055857
16,2021-04-18,0.525139665,0.054003724,0.00744879,0.113594041,0.115456238,0.0,0.36582824227664373,0.03383426399714685,0.12162472812387395,0.08139154600226264,0.0,0.24886714870643978
17,2021-04-25,0.559440559,0.054195804,0.001748252,0.111888112,0.131118881,0.0,0.48566395566323073,0.007196223855688643,0.17098518654807449,0.02506840324640353,0.0,0.13571947817802876
18,2021-05-02,0.53147877,0.043923865,0.005856515,0.077598829,0.17715959,0.001464129,0.39420722178403234,0.042000661773400436,0.19156349040255208,0.006340140298257995,0.0,0.09828067773892198
19,2021-05-09,0.527472527,0.031135531,0.003663004,0.054945055,0.236263736,0.0,0.46817989491314255,0.03621141243779329,0.24419665169625812,0.01057733143713608,0.0,0.05449130601984151
20,2021-05-16,0.458646617,0.022556391,0.002506266,0.037593985,0.268170426,0.0,0.4859366304691193,0.05298049070100961,0.26702983766160254,0.07091280767371694,0.0,0.04132626176682756
21,2021-05-23,0.4765625,0.0234375,0.010416667,0.033854167,0.296875,0.002604167,0.4259111101156405,0.03542409439369833,0.23206940443332122,0.004547551039634346,0.0,0.05083780077080899
22,2021-05-30,0.445901639,0.029508197,0.013114754,0.026229508,0.298360656,0.003278689,0.35841691449288743,0.005663434759996814,0.2191291707189894,0.036115806647295315,0.0,0.029306857425852886
23,2021-06-06,0.512,0.012,0.044,0.008,0.252,0.0,0.35312998042552,0.007068090990428244,0.2453492045044944,0.03777075745746655,0.0,0.02551704292673676
24,2021-06-13,0.559139785,0.003584229,0.089605735,0.003584229,0.204301075,0.003584229,0.47122279815132684,0.006016827558820521,0.11557227997838986,0.13763959487978542,0.0,0.02538053614738885
25,2021-06-20,0.453125,0.005208333,0.234375,0.0,0.244791667,0.005208333,0.5358087457334401,0.007440278347401044,0.16644011098374992,0.11797277877354755,0.0,0.03740858628898938
26,2021-06-27,0.302904564,0.012448133,0.365145228,0.0,0.203319502,0.004149378,0.3131324595424059,0.0012663609611676006,0.15435725517232804,0.31345179807886087,0.0,0.007389180454616021
27,2021-07-04,0.157657658,0.0,0.635135135,0.009009009,0.108108108,0.004504505,0.11204866002244576,0.0006492628641693301,0.6086755181820894,0.24882304437778252,0.0,0.003903905855408739
28,2021-07-11,0.152334152,0.002457002,0.687960688,0.0,0.049140049,0.002457002,0.051965757444851615,0.0,0.4702443439561223,0.42112320535794284,0.0,0.005389218395984503
29,2021-07-18,0.112081514,0.002911208,0.737991266,0.004366812,0.068413392,0.001455604,0.061777810217146616,0.002546053263385709,0.03276911840938292,0.8711127545915912,0.0,0.0011777750216645706
30,2021-07-25,0.052427184,0.0,0.895145631,0.000970874,0.024271845,0.000970874,0.02414059966466389,0.0034596430746898542,0.009268005707702018,0.9075178229127129,0.0,0.002245401122401762
31,2021-08-01,0.014084507,0.0,0.967605634,0.0,0.007042254,0.000704225,0.006449920568623326,0.007619253494533646,0.005552909036529061,0.9265165437843716,0.0,0.0003434603726634708
